obra,openalex_ids,openalex_registros,openalex_citas,scholar_citas,razon_scholar_openalex,nota
"Global Trade, Assistance, and Production: The GTAP 5 Data Base",W2403987006,1,1122,1618,1.44,
Global Trade Analysis: Modeling and Applications,W1485558032,1,895,5749,6.42,"Scholar agrega ediciones, reimpresiones y capitulos bajo el registro del libro; OpenAlex lista 'Structure of GTAP' (cap. 2) aparte. La razon de un libro es el techo del factor de cobertura, no su valor tipico."
GTAP-E: An Energy-Environmental Version of the GTAP Model,W2141229371 + W3123830708,2,746,875,1.17,"Scholar tambien lista una revision de 2007 (Truong, Kemfert, Burniaux) que OpenAlex no separa; queda excluida por anio. Es la obra con el emparejamiento mas sucio de las once."
An Overview of the GTAP 9 Data Base,W2413227257,1,576,995,1.73,
The GTAP Data Base: Version 10,W2955545697,1,498,942,1.89,
"The Standard GTAP Model, Version 7",W2633769093 + W4242531241,2,293,625,2.13,
Structure of GTAP,W2497463976,1,260,767,2.95,"Scholar devuelve tambien 'Theoretical structure of Dynamic GTAP' (Ianchovichina y McDougall, 377 citas), que es otra obra y queda excluida."
GTAP-AGR: A Framework for Assessing the Implications of Multilateral Changes in Agricultural Policies,W3121700781 + W1525723848,2,179,222,1.24,
The GTAP Data Base: Version 11,W4320021891,1,154,344,2.23,
Dynamic Modeling and Applications for Global Economic Analysis,W1574368972,1,140,202,1.44,
The GTAP Data Base: Version 12,W7117369847,1,1,,,1 cita en OpenAlex y 0 resultados en Scholar: demasiado reciente para sostener un cociente. Se reporta pero no entra en la mediana.
"Global Trade, Assistance, and Production: The GTAP 8 Data Base",,0,,52,no calculable (OpenAlex no lo indexa),OpenAlex no indexa esta obra. Sin denominador no hay razon: el valor de Scholar mide el tamano del hueco de indexacion en terminos absolutos.
"Global Trade, Assistance, and Production: The GTAP 7 Data Base",,0,,1561,no calculable (OpenAlex no lo indexa),OpenAlex no indexa esta obra. Sin denominador no hay razon: el valor de Scholar mide el tamano del hueco de indexacion en terminos absolutos.
"Global Trade, Assistance, and Production: The GTAP 6 Data Base",,0,,59,no calculable (OpenAlex no lo indexa),OpenAlex no indexa esta obra. Sin denominador no hay razon: el valor de Scholar mide el tamano del hueco de indexacion en terminos absolutos.
